守卫编号,是否加载,所处地图,所处地名,所处坐标x,所处坐标y,所处方向,守卫名字,移动坐标,移动阻塞
4748,TRUE,10,镇魔古城,1061,550,右下,驿站管理员,0,TRUE
6604,TRUE,10,镇魔古城,1063,548,左下,驿站管理员,0,TRUE
6529,TRUE,10,镇魔古城,1062,549,下方,镇魔殿使者,0,TRUE
6604,TRUE,11,镇魔殿二层,958,331,左下,驿站管理员,0,TRUE
6604,TRUE,11,镇魔殿三层,941,344,左下,驿站管理员,0,TRUE
6532,TRUE,11,镇魔殿二层,1109,278,下方,百师01,0,TRUE
6533,TRUE,11,镇魔殿二层,1108,276,下方,香毒01,0,TRUE
7131,TRUE,11,镇魔殿二层,954,330,下方,镇魔守卫,0,TRUE
6532,TRUE,12,镇魔殿三层,953,662,下方,百师01,0,TRUE
6533,TRUE,12,镇魔殿三层,952,661,下方,香毒01,0,TRUE
7131,TRUE,12,镇魔殿三层,950,329,下方,镇魔守卫,0,TRUE
6604,TRUE,13,镇魔殿四层,964,370,左下,驿站管理员,0,TRUE
6532,TRUE,13,镇魔殿四层,986,276,下方,百师01,0,TRUE
6533,TRUE,13,镇魔殿四层,987,275,下方,香毒01,0,TRUE
7131,TRUE,13,镇魔殿四层,968,371,下方,镇魔守卫,0,TRUE
6604,TRUE,14,镇魔殿一层,901,855,左下,驿站管理员,0,TRUE
6532,TRUE,14,镇魔殿一层,812,346,下方,百师01,0,TRUE
6533,TRUE,14,镇魔殿一层,811,345,下方,香毒01,0,TRUE
7131,TRUE,14,镇魔殿一层,1144,453,下方,镇魔守卫,0,TRUE
6414,TRUE,21,巅峰赛王城,948,463,下方,道哥31,0,TRUE
6515,TRUE,26,修罗备战区,948,463,左下,凤舞,0,TRUE
7119,TRUE,26,修罗备战区,941,459,左下,玛法通驿,0,TRUE
6718,TRUE,26,修罗备战区,955,469,右下,百师-杂货,0,TRUE
6717,TRUE,26,修罗备战区,953,471,右下,香毒-药店,0,TRUE
6413,TRUE,26,修罗备战区,951,473,右下,刀妹-武器,0,TRUE
6516,TRUE,27,修罗狩猎场,1019,415,左方,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1021,413,左方,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1023,411,左方,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1021,592,0,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1019,594,0,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1023,590,0,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1152,416,0,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1150,416,0,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1154,416,0,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1027,239,0,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1025,241,0,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,1029,237,0,修罗场图腾,0,TRUE
6516,TRUE,27,修罗狩猎场,901,424,0,修罗场图腾,0,TRUE
