怪物序号,基础一组,基础二组,基础三组,基础四组,基础五组,基础六组,基础七组,基础八组,基础九组,基础十组,基础11组,基础12组,基础13组,基础14组,基础15组,秘标一组,秘标二组,标精一组,标精二组,秘进一组,秘进二组,进精一组,进精二组,触发脚本
1,魔殿恶蛆,魔殿恶蛆,魔殿卫士,魔殿雕像,魔殿雕像,魔殿狼蛛,魔殿狼蛛,魔殿邪蛛,魔殿血巨人,魔殿血蛙,魔殿血蛙,魔殿刀兵,魔殿锤兵,魔殿锤兵,魔殿刀斧手,魔殿牛魔战士,魔殿牛魔战士,魔殿牛魔将军,魔殿牛魔将军,魔殿牛魔侍卫,魔殿虚空龙仆,魔殿牛魔将军,魔殿虚灵之主,0
2,魔殿恶蛆,魔殿恶蛆,魔殿卫士,魔殿雕像,魔殿雕像,魔殿狼蛛,魔殿狼蛛,魔殿邪蛛,魔殿血巨人,魔殿血蛙,魔殿血蛙,魔殿刀兵,魔殿锤兵,魔殿锤兵,魔殿刀斧手,魔殿牛魔战士,魔殿牛魔战士,魔殿牛魔将军,魔殿牛魔将军,魔殿牛魔侍卫,魔殿虚空龙仆,魔殿牛魔将军,魔殿虚灵之主,0
3,魔殿恶蛆,魔殿恶蛆,魔殿黑野猪,魔殿黑野猪,魔殿雕像,魔殿狼蛛,魔殿狼蛛,魔殿邪蛛,魔殿血巨人,魔殿血蛙,魔殿血蛙,魔殿刀兵,魔殿锤兵,魔殿锤兵,魔殿刀斧手,魔殿牛魔战士,魔殿牛魔战士,魔殿牛魔将军,魔殿牛魔将军,魔殿牛魔侍卫,魔殿虚空龙仆,魔殿牛魔将军,魔殿虚灵之主,0
4,魔殿恶蛆,魔殿恶蛆,魔殿黑野猪,魔殿黑野猪,魔殿雕像,魔殿狼蛛,魔殿狼蛛,魔殿血巨人,魔殿血巨人,魔殿血蛙,魔殿血蛙,魔殿破甲兵,魔殿破甲兵,魔殿破甲兵,魔殿长枪兵,魔殿牛魔战士,魔殿牛魔战士,魔殿牛魔将军,魔殿牛魔将军,魔殿牛魔侍卫,魔殿虚空龙仆,魔殿牛魔将军,魔殿虚灵之主,0
5,魔殿红野猪,魔殿红野猪,魔殿黑野猪,魔殿黑野猪,魔殿卫士,魔殿钢蛛,魔殿钢蛛,魔殿血巨人,魔殿血巨人,魔殿刀兵,魔殿刀兵,魔殿破甲兵,魔殿破甲兵,魔殿破甲兵,魔殿长枪兵,魔殿牛魔战士,魔殿牛魔战士,魔殿牛魔将军,魔殿牛魔将军,魔殿牛魔侍卫,魔殿虚空龙仆,魔殿牛魔将军,魔殿虚灵之主,0
6,魔殿红野猪,魔殿红野猪,魔殿黑野猪,魔殿黑野猪,魔殿卫士,魔殿钢蛛,魔殿钢蛛,魔殿血巨人,魔殿血巨人,魔殿刀兵,魔殿刀兵,魔殿破甲兵,魔殿破甲兵,魔殿破甲兵,魔殿长枪兵,魔殿牛魔战士,魔殿牛魔战士,魔殿牛魔将军,魔殿牛魔将军,魔殿牛魔侍卫,魔殿虚空龙仆,魔殿牛魔将军,魔殿虚灵之主,0
7,魔殿红野猪,魔殿红野猪,魔殿黑野猪,魔殿黑野猪,魔殿卫士,魔殿钢蛛,魔殿钢蛛,魔殿血巨人,魔殿血巨人,魔殿刀兵,魔殿刀兵,魔殿破甲兵,魔殿长枪兵,魔殿长枪兵,魔殿长枪兵,魔殿牛魔战士,魔殿牛魔战士,魔殿牛魔将军,魔殿牛魔将军,魔殿牛魔侍卫,魔殿虚空龙仆,魔殿牛魔将军,魔殿虚灵之主,0
8,魔殿红野猪,魔殿红野猪,魔殿黑野猪,魔殿黑野猪,魔殿卫士,魔殿射手,魔殿射手,魔殿射手,魔殿射手,魔殿刀兵,魔殿刀兵,魔殿破甲兵,魔殿长枪兵,魔殿长枪兵,魔殿骷髅射手,魔殿牛魔战士,魔殿牛魔战士,魔殿牛魔将军,魔殿牛魔将军,魔殿牛魔侍卫,魔殿虚空龙仆,魔殿牛魔将军,魔殿虚灵之主,0
9,魔殿红野猪,魔殿红野猪,魔殿弓箭手,魔殿弓箭手,魔殿弓箭手,魔殿射手,魔殿射手,魔殿射手,魔殿射手,魔殿射手,魔殿射手,魔殿骷髅射手,魔殿骷髅射手,魔殿骷髅射手,魔殿骷髅射手,魔殿牛魔战士,魔殿牛魔战士,魔殿牛魔将军,魔殿牛魔将军,魔殿牛魔侍卫,魔殿虚空龙仆,魔殿牛魔将军,魔殿虚灵之主,0
10,魔殿红野猪,魔殿红野猪,魔殿弓箭手,魔殿弓箭手,魔殿弓箭手,魔殿射手,魔殿射手,魔殿射手,魔殿射手,魔殿射手,魔殿射手,魔殿骷髅射手,魔殿骷髅射手,魔殿骷髅射手,魔殿骷髅射手,魔殿牛魔战士,魔殿牛魔战士,魔殿牛魔将军,魔殿牛魔将军,魔殿牛魔侍卫,魔殿虚空龙仆,魔殿牛魔将军,魔殿虚灵之主,0
